                original          NewStemmer
0                    one                 one
1                   find                find
2              excellent               excel
3                 hotels               hotel
4                located              locate
5                  clean               clean
6            comfortable             comfort
7              amenities             amenity
8                  found               found
9                enjoyed               enjoy
10                around              around
11                 world               world
12                 often                ofte
13                  come                come
14                across              across
15                hotels               hotel
16                    go                  go
17                beyond              beyond
18                  make                make
19              question            question
20                  seen                 see
21           experienced           experienc
22                   one                 one
23               themThe             themThe
24                photos               photo
25                  site                site
26                surely                sure
27               express             express
28             attention           attention
29                detail              detail
30               harmony             harmony
31               choices              choice
32            simplicity          simplicity
33             materials            material
34                 smell               smell
35               natural             natural
36              essences             essence
37                around              around
38                  care                care
39              received              receiv
40                guests               guest
41          personalized              person
42                treats               treat
43                  made                make
44                  feel                feel
45                  home                home
46                 among               among
47               friends              friend
48               opinion             opinion
49                  rank                rank
50                 hotel               hotel
51                   one                 one
52                  best                best
53               relaxed              relaxe
54                places               place
55              Portugal              Portug
56                 world               world
57                  sure                sure
58                return              return
59           destination         destination
60                  sure                sure
61                  also                also
62             recommend           recommend
63               magical               magic
64                 place               place
65                 Every               Every
66                single              single
67                detail              detail
68                 seems                seem
69               thought             thought
70                 Spend               Spend
71                 night               night
72                dinner              dinner
73            restaurant          restaurant
74                  food                food
75                  nice                nice
76                 order               order
77                  took                took
78                   bit                 bit
79                arrive              arrive
80               service             service
81                  nice                nice
82                 order               order
83                  took                took
84                   bit                 bit
85                arrive              arrive
86                 price               price
87            considered            consider
88                  high                high
89             fantastic             fantast
90                 hotel               hotel
91              forgiven             forgive
92            restaurant          restaurant
93               command             command
94                  Chef                Chef
95              Leonardo            Leonardo
96               Pereira             Pereira
97                worked                work
98               several               sever
99                 years                year
100                Nomad               Nomad
101                 Dina                Dina
102                 mark                mark
103           absolutely            absolute
104            wonderful              wonder
105                 Food                Food
106                 made                make
107                  lot                 lot
108                 love                love
109              respect             respect
110               nature              nature
111               garden               garde
112          ingredients             ingredy
113                taken                take
114              Amazing               Amaze
115            delicious           delicious
116                tasty               tasty
117                 food                food
118                makes                make
119              happier               happy
120                every               every
121                 time                time
122                 dish                dish
123               served                serv
124                 went                went
125                Hotel               Hotel
126                Areas                Area
127                Seixo               Seixo
128                lunch               lunch
129       restaurantWhen       restaurantWhe
130               arrive              arrive
131               notice              notice
132               modern              modern
133         architecture        architecture
134                clean               clean
135            extremely             extreme
136                 cozy                cozy
137                place               place
138              amazing               amaze
139               energy              energy
140                makes                make
141                 look                look
142                every               every
143               single              single
144               detail              detail
145               unique              unique
146              service             service
147               people              people
148                world               world
149              working                work
150             interact            interact
151               guests               guest
152                place               place
153                makes                make
154                 feel                feel
155              friends              friend
156                homes                home
157                 want                want
158                 come                come
159                 back                back
160              magical               magic
161                place               place
162                 nice                nice
163                 food                food
164            Beautiful              Beauty
165             romantic            romantic
166                niceA               niceA
167                 nice                nice
168           experience          experience
169               highly                high
170          recommended           recommend
171                staff               staff
172                 nice                nice
173                 room                room
174                 Neha                Neha
175             Crotchet            Crotchet
176            wonderful              wonder
177            fireplace           fireplace
178                 warm                warm
179              coldest                cold
180               nights               night
181                 went                went
182              January             January
183                 Cozy                Cozy
184                 nice                nice
185                 dcor                dcor
186               repeat              repeat
187          Considering            Consider
188               entire              entire
189           experience          experience
190            different              differ
191             pleasant            pleasant
192                  one                 one
193                 Nice                Nice
194              service             service
195               dishes                dish
196             prepared              prepar
197          ingredients             ingredy
198                 used                 use
199                daily               daily
200                lifes                life
201            Fantastic           Fantastic
202                 dcor                dcor
203            Expensive           Expensive
204               better              better
205           experience          experience
206                  lye                 lye
207               moment              moment
208               walked                walk
209                  lye                 lye
210               moment              moment
211                 left                left
212             remember            remember
213                  joy                 joy
214               smiles               smile
