attorney-general	attorneys-general
brother-in-law	brothers-in-law
bystander	bystanders
commander-in-chief	commanders-in-chief
cupful	cupfuls
go-between	go-betweens
governor-general	governors-general
handful	handfuls
heir apparent	heirs apparent
maidservant	maidservants
man-of-war	men-of-war
mix-up	mix-ups
mother-in-law	mothers-in-law
mouthful	mouthfuls
passer-by	passers-by
sergeant major	sergeants major
sister-in-law	sisters-in-law
son-in-law	sons-in-law
step-parent	step-parents
parent	parents
step-daughter	step-daughters
daughter	daughters
step-mother	step-mothers
mother	mothers
tablespoonful	tablespoonfuls
takeoff	takeoffs
boar	boars	 
reindeer	reindeers
buck 	bucks	 	
roe	roes
Eskimo	Eskimos	 	
Sherpa	Sherpas
Karen	Karens	 	
shrimp	shrimps
mackerel	mackerels	 	 
trout	trouts
quail	quails	 	
whale	whales
criterion	criteria
dormouse	dormice
foot	feet
goose	geese
louse	lice
man	men
mouse	mice
phenomenon	phenomena
tooth	teeth
woman	women
ox	oxen
child	children
ant	ants		
lock	locks
banana	bananas	
magazine	magazines
bicycle	bicycles	
mongoose	mongooses
cow	cows		
nose	noses
daughter	daughters		
orange	oranges
egg	eggs		
picture	pictures
flower	flowers		
rose	roses
grape	grapes		
spoonful	spoonfuls
human	humans		
toy	toys
jug	jugs		
vase	vases
king	kings		
well	wells
dwarf	dwarfs
dwarf	dwarves
handkerchief	handkerchiefs
handkerchief	handkerchives
hoof	hoofs
hoof	hooves
scarf	scarfs
scarf	scarves
turf	turfs
turf	turves
wharf	wharfs
wharf	wharves
belief	beliefs		
gulf	gulfs
bluff	bluffs		
handcuff	handcuffs
chef	chefs		
reef	reefs
chief	chiefs		
roof	roofs
cliff	cliffs		
safe	safes
giraffe	giraffes		
sheriff	sheriffs
beef	beeves		
loaf	loaves
calf	calves		
self	selves
half	halves		
sheaf	sheaves
housewife	housewives		
shelf	shelves
knife	knives		
thief	thieves
leaf	leaves		
wife	wives
life	lives		
wolf	wolves
alloy	alloys		
joy	joys
bay	bays		
key	keys
boy	boys		
kidney	kidneys
chimney	chimneys		
monkey	monkeys
day	days		
play	plays
decoy	decoys		
ray	rays
delay	delays		
toy	toys
donkey	donkeys		
tray	trays
guy	guys		
trolley	trolleys
jersey	jerseys		
valley	valleys
journey	journeys		
way	ways
analysis	analyses
axis	axes
basis	bases
crisis	crises
diagnosis	diagnoses
ellipsis	ellipses
hypothesis	hypotheses
oasis	oases
parenthesis	parentheses
thesis	theses
army	armies		
enemy	enemies
baby	babies		
fairy	fairies
beauty	beauties		
family	families
berry	berries		
lady	ladies
